
These predictions were generated by SubDyn on 10-Jul-2022 at 18:26:26.




    Time	   M1N1FKze	   M1N2FKze	   M4N1FKze	   M4N2FKze	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss	  M2N2TDxss	  M3N1TDxss	  M3N2TDxss	  M4N1TDxss	  M4N2TDxss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFYss	   IntfFZss	   IntfMXss	   IntfMZss	   M3N2FKxe	   M2N1FKye	   M2N2FKye	   M2N1FMxe	   M2N1FMye	   M2N1FMze
       s	        (N)	        (N)	        (N)	        (N)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	        (N)	        (N)	        (N)
    0.4100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.4900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.5900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.6900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7500	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7600	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7700	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7800	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.7900	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.8000	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.8100	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.8200	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.8300	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
    0.8400	  9.99994377E+06	  9.99994377E+06	  9.99988780E+06	  9.99988780E+06	  0.00000000E+00	 -2.66505994E-07	 -2.66505994E-07	  0.00000000E+00	  0.00000000E+00	  2.66504502E-07	  2.66504502E-07	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  5.59656307E+01	 -0.00000000E+00	  1.04492258E+06	 -0.00000000E+00	 -0.00000000E+00	  0.00000000E+00	 -4.53686129E+05	 -4.53686129E+05	 -0.00000000E+00	 -0.00000000E+00	 -0.00000000E+00
